Date,Open,High,Low,Close,Volume
2024-01-02,23.15,23.48,22.98,23.32,45200
2024-01-03,23.32,23.75,23.10,23.61,52300
2024-01-04,23.61,23.80,23.35,23.52,41800
2024-01-05,23.52,23.95,23.40,23.88,58900
2024-01-08,23.88,24.20,23.70,24.05,63400
2024-01-09,24.05,24.35,23.85,24.18,55600
2024-01-10,24.18,24.50,23.95,24.32,61200
2024-01-11,24.32,24.65,24.10,24.48,57800
2024-01-12,24.48,24.70,24.20,24.55,49300
2024-01-15,24.55,24.80,24.30,24.62,44700
2024-01-16,24.62,24.90,24.40,24.75,52100
2024-01-17,24.75,25.10,24.55,24.95,68900
2024-01-18,24.95,25.30,24.75,25.12,72400
2024-01-19,25.12,25.45,24.90,25.28,65300
2024-01-22,25.28,25.60,25.05,25.42,58700
2024-01-23,25.42,25.75,25.20,25.58,61400
2024-01-24,25.58,25.85,25.30,25.70,54900
2024-01-25,25.70,26.00,25.45,25.88,69200
2024-01-26,25.88,26.15,25.65,26.02,71800
2024-01-29,26.02,26.30,25.80,26.15,63500
2024-01-30,26.15,26.45,25.95,26.28,58900
2024-01-31,26.28,26.55,26.05,26.40,62300
2024-02-01,26.40,26.70,26.15,26.52,67800
2024-02-02,26.52,26.85,26.30,26.65,74200
2024-02-05,26.65,26.95,26.40,26.78,69500
2024-02-06,26.78,27.10,26.55,26.92,73100
2024-02-07,26.92,27.25,26.70,27.08,78900
2024-02-08,27.08,27.40,26.85,27.22,82400
2024-02-09,27.22,27.55,27.00,27.38,79600
2024-02-12,27.38,27.65,27.10,27.48,71300
2024-02-13,27.48,27.75,27.20,27.55,68900
2024-02-14,27.55,27.90,27.30,27.72,75400
2024-02-15,27.72,28.05,27.50,27.88,81200
2024-02-16,27.88,28.20,27.65,28.02,87600
2024-02-19,28.02,28.35,27.80,28.18,83400
2024-02-20,28.18,28.50,27.95,28.32,79800
2024-02-21,28.32,28.65,28.10,28.48,76500
2024-02-22,28.48,28.80,28.25,28.62,84300
2024-02-23,28.62,28.95,28.40,28.75,91200
2024-02-26,28.75,29.05,28.50,28.88,87600
2024-02-27,28.88,29.20,28.65,29.02,83900
2024-02-28,29.02,29.35,28.80,29.15,79400
2024-02-29,29.15,29.50,28.95,29.28,85700
2024-03-01,29.28,29.65,29.05,29.42,92100
2024-03-04,29.42,29.80,29.20,29.58,96400
2024-03-05,29.58,29.95,29.35,29.72,89700
2024-03-06,29.72,30.10,29.50,29.88,94200
2024-03-07,29.88,30.25,29.65,30.05,102300
2024-03-08,30.05,30.45,29.85,30.22,108900
2024-03-11,30.22,30.60,30.00,30.38,105600
2024-03-12,30.38,30.75,30.15,30.52,98400
2024-03-13,30.52,30.90,30.28,30.65,103700
2024-03-14,30.65,30.95,30.35,30.72,97800
2024-03-15,30.72,30.85,30.20,30.45,89300
2024-03-18,30.45,30.65,29.95,30.18,84600
2024-03-19,30.18,30.45,29.80,30.02,79200
2024-03-20,30.02,30.30,29.65,29.85,75800
2024-03-21,29.85,30.10,29.50,29.68,72400
2024-03-22,29.68,29.90,29.30,29.48,68900
2024-03-25,29.48,29.75,29.15,29.35,65300
2024-03-26,29.35,29.60,29.00,29.18,71200
2024-03-27,29.18,29.45,28.85,29.02,74600
2024-03-28,29.02,29.30,28.70,28.88,69800
2024-03-29,28.88,29.15,28.55,28.75,73400
2024-04-01,28.75,29.05,28.45,28.65,68900
2024-04-02,28.65,28.95,28.35,28.52,72300
2024-04-03,28.52,28.80,28.25,28.42,75600
2024-04-04,28.42,28.70,28.10,28.28,69400
2024-04-05,28.28,28.55,28.00,28.15,66800
2024-04-08,28.15,28.45,27.90,28.05,63200
2024-04-09,28.05,28.35,27.80,27.95,67800
2024-04-10,27.95,28.25,27.70,27.85,72100
2024-04-11,27.85,28.15,27.60,27.75,68500
2024-04-12,27.75,28.05,27.50,27.65,74900
2024-04-15,27.65,27.95,27.40,27.55,69300
2024-04-16,27.55,27.85,27.30,27.45,73600
2024-04-17,27.45,27.75,27.20,27.38,78200
2024-04-18,27.38,27.70,27.15,27.32,82400
2024-04-19,27.32,27.65,27.08,27.25,87900
2024-04-22,27.25,27.58,27.00,27.18,83600
2024-04-23,27.18,27.52,26.95,27.12,79800
2024-04-24,27.12,27.45,26.90,27.05,75400
2024-04-25,27.05,27.40,26.85,27.00,71200
2024-04-26,27.00,27.35,26.80,26.95,68600
2024-04-29,26.95,27.30,26.75,26.88,65900
2024-04-30,26.88,27.22,26.68,26.82,69300
2024-05-01,26.82,27.15,26.62,26.75,72800
2024-05-02,26.75,27.08,26.55,26.68,76400
2024-05-03,26.68,27.02,26.48,26.62,81900
2024-05-06,26.62,26.95,26.42,26.55,78300
2024-05-07,26.55,26.88,26.35,26.48,74600
2024-05-08,26.48,26.82,26.28,26.42,71200
2024-05-09,26.42,26.75,26.22,26.35,67800
2024-05-10,26.35,26.68,26.15,26.28,64500
2024-05-13,26.28,26.62,26.08,26.22,68900
2024-05-14,26.22,26.55,26.02,26.15,73400
2024-05-15,26.15,26.48,25.95,26.08,78900
2024-05-16,26.08,26.42,25.88,26.02,84300
2024-05-17,26.02,26.35,25.82,25.95,89700
